ID;SOA;Condition;Panel;Reaction Time (ms)
27;long;II;T2-locked RT;729.69
28;long;II;T2-locked RT;920.52
29;long;II;T2-locked RT;732.89
30;long;II;T2-locked RT;952.32
31;long;II;T2-locked RT;906.76
32;long;II;T2-locked RT;726.58
33;long;II;T2-locked RT;756.93
34;long;II;T2-locked RT;748.43
35;long;II;T2-locked RT;691.11
36;long;II;T2-locked RT;761.21
37;long;II;T2-locked RT;665.73
38;long;II;T2-locked RT;650.44
39;long;II;T2-locked RT;704.93
40;long;II;T2-locked RT;813.38
